Ticker symbol,Security,Sector,Industry,Headquarters,CIK
JPM,JPMorgan Chase & Co.,Financials,Banks,"New York, New York",19617
JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington",72333
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",55067
KEY,KeyCorp,Financials,Banks,"Cleveland, Ohio",91576
KIM,Kimco Realty,Financials,REITs,"New Hyde Park, New York",879101
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,"Milpitas, California",319201
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",55785
KMI,Kinder Morgan,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",1506307
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",1170010
KO,The Coca Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",21344
KORS,Michael Kors,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",1530721
KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",56873
KRFT,Kraft Foods Group,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",1545158
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",885639
KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",54480
L,Loews Corp.,Financials,Multi-Sector Holdings,"New York, New York",60086
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",701985
LEG,Leggett & Platt,Industrials,Industrial Conglomerates,"Carthage, Missouri",58492
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida",920760
LH,Laboratory Corp. of America Holding,Health Care,Health Care Facilities,"Burlington, North Carolina",920148
LLL,L-3 Communications Holdings,Industrials,Industrial Conglomerates,"New York, New York",1056239
LLTC,Linear Technology Corp.,Information Technology,Semiconductors,"Milpitas, California",791907
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",59478
LM,Legg Mason,Financials,Diversified Financial Services,"Baltimore, Maryland",704051
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",936468
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",59558
LO,Lorillard Inc.,Consumer Staples,Tobacco,"Greensboro, North Carolina",1424847
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",60667
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",707549
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings,"New York, New York",96223
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",92380
LVLT,Level 3 Communications,Telecommunications Services,Alternative Carriers,"Broomfield, Colorado",794323
LYB,LyondellBasell,Materials,Diversified Chemicals,"Rotterdam, Netherlands",1489393
M,Macy's Inc.,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",794367
MA,Mastercard Inc.,Information Technology,Internet Software & Services,"Harrison, New York",1141391
MAC,Macerich,Financials,Retail REITs,"Santa Monica, California",912242
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1048286
MAS,Masco Corp.,Industrials,Building Products,"Taylor, Michigan",62996
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,"El Segundo, California",63276
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Oak Brook, Illinois",63908
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",827054
MCK,McKesson Corp.,Health Care,Health Care Distributors & Services,"San Francisco, California",927653
MCO,Moody's Corp,Financials,Diversified Financial Services,"New York, New York",1059556
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",1103982
MDT,Medtronic Inc.,Health Care,Health Care Equipment & Services,"Fridley, Minnesota",64670
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",1099219
MHFI,McGraw Hill Financial,Financials,Diversified Financial Services,"New York, New York",64040
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",851968
MJN,Mead Johnson,Consumer Staples,Packaged Foods & Meats,"Glenview, Illinois",1452575
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",63754
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",916076
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York",62709
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",66740
MNK,Mallinckrodt plc,Health Care,Pharmaceuticals,"Dublin, Ireland",1567892
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",865752
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",764180
MON,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals,"Creve Coeur, Missouri",1110783
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",1285785
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing & Transportation,"Findlay, Ohio",1510295
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",310158
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",101778
MS,Morgan Stanley,Financials,Diversified Financial Services,"New York, New York",895421
MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",789019
MSI,Motorola Solutions Inc.,Information Technology,Telecommunications Equipment,"Schaumburg, Illinois",68505
MTB,M&T Bank Corp.,Financials,Banks,"Buffalo, New York",36270
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",723125
MUR,Murphy Oil,Energy,Integrated Oil & Gas,"El Dorado, Arkansas",717423
MWV,MeadWestvaco Corporation,Materials,Paper Packaging,"Richmond, Virginia",1159297
MYL,Mylan Inc.,Health Care,Pharmaceuticals,"Canonsburg, Pennsylvania",69499
NAVI,Navient Corp,Financials,Consumer Finance,"Newark, Delaware",1084750
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas",72207
NBR,Nabors Industries Ltd.,Energy,Oil & Gas Drilling,"Hamilton, Bermuda",1163739
NDAQ,NASDAQ OMX Group,Financials,Diversified Financial Services,"New York, New York",1120193
NE,Noble Corp,Energy,Oil & Gas Drilling,"Geneva, Switzerland",1458891
NEE,NextEra Energy,Utilities,Multi-Utilities & Unregulated Power,"Juno Beach, Florida",753308
NEM,Newmont Mining Corp. (Hldg. Co.),Materials,Gold,"Denver, Colorado",1164727
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,"Los Gatos, California",1065280
NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,"Houston, Texas",912750
NI,NiSource Inc.,Utilities,Multi-Utilities & Unregulated Power,"Merrillville, Indiana",1111711
NKE,NIKE Inc.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",320187
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York",1492633
NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1133421
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1021860
NRG,NRG Energy,Utilities,Multi-Utilities & Unregulated Power,"Princeton, New Jersey",1013871
NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia",702165
NTAP,NetApp,Information Technology,Internet Software & Services,"Sunnyvale, California",1002047
NTRS,Northern Trust Corp.,Financials,Diversified Financial Services,"Chicago, Illinois",73124
NU,Northeast Utilities,Utilities,Multi-Utilities & Unregulated Power,"Berlin, Connecticut",72741
NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina",73309
NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",1045810
NWL,Newell Rubbermaid Co.,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",814453
NWSA,News Corporation,Consumer Discretionary,Publishing,"New York, New York",1564708
OI,Owens-Illinois Inc,Materials,Metal & Glass Containers,"Perrysburg, Ohio",812074
OKE,ONEOK,Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma",1039684
OMC,Omnicom Group,Consumer Discretionary,Advertising,"New York, New York",29989
ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California",1341439
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",898173
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",797468
PAYX,Paychex Inc.,Information Technology,Internet Software & Services,"Penfield, New York",723531
PBCT,People's United Bank,Financials,Banks,"Bridgeport, Connecticut",1378946
PBI,Pitney-Bowes,Industrials,Office Services & Supplies,"Stamford, Connecticut",78814
PCAR,PACCAR Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,"Bellevue, Washington",75362
PCG,P G & E Corp.,Utilities,Multi-Utilities & Unregulated Power,"San Francisco, California",1004980
PCL,Plum Creek Timber Co.,Financials,REITs,"Seattle, Washington",849213
PCLN,Priceline.com Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",1075531
PCP,Precision Castparts,Industrials,Industrial Conglomerates,"Portland, Oregon",79958
PDCO,Patterson Companies,Health Care,Health Care Supplies,"St. Paul, Minnesota",891024
PEG,Public Serv. Enterprise Inc.,Utilities,Multi-Utilities & Unregulated Power,"Newark, New Jersey",788784
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York",77476
PETM,"PetSmart, Inc.",Consumer Discretionary,Specialty Stores,"Phoenix, Arizona",863157
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York",78003
PFG,Principal Financial Group,Financials,Diversified Financial Services,"Des Moines, Iowa",1126328
PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",80424
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",80661
PH,Parker-Hannifin,Industrials,Industrial Conglomerates,"Cleveland, Ohio",76334
PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,"Bloomfield Hills, Michigan",822416
PKI,PerkinElmer,Health Care,Health Care Equipment & Services,"Waltham, Massachusetts",31791
PLD,Prologis,Financials,Diversified Financial Services,"San Francisco, California",1045609
PLL,Pall Corp.,Industrials,Industrial Conglomerates,"Port Washington, New York",75829
PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",1413329
PNC,PNC Financial Services,Financials,Banks,"Pittsburgh, Pennsylvania",713676
PNR,Pentair Ltd.,Industrials,Industrial Conglomerates,"Schaffhausen, Switzerland",77360
PNW,Pinnacle West Capital,Utilities,Multi-Utilities & Unregulated Power,"Phoenix, Arizona",764622
POM,Pepco Holdings Inc.,Utilities,Multi-Utilities & Unregulated Power,Washington D.C,1135971
PPG,PPG Industries,Materials,Diversified Chemicals,"Pittsburgh, Pennsylvania",79879
PPL,PPL Corp.,Utilities,Multi-Utilities & Unregulated Power,"Allentown, Pennsylvania",922224
PRGO,Perrigo,Health Care,Pharmaceuticals,"Dublin, Ireland",1585364
PRU,Prudential Financial,Financials,Diversified Financial Services,"Newark, New Jersey",1137774
PSA,Public Storage,Financials,REITs,"Glendale, California",1393311
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",1534701
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",78239
PWR,Quanta Services Inc.,Industrials,Industrial Conglomerates,"Houston, Texas",1050915
PX,Praxair Inc.,Materials,Industrial Gases,"Danbury, Connecticut",884905
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",1038357
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California",804328
QEP,QEP Resources,Energy,Oil & Gas Exploration & Production,"Denver, Colorado[7]",1108827
R,Ryder System,Industrials,Industrial Conglomerates,"Miami, Florida",85961
RAI,Reynolds American Inc.,Consumer Staples,Tobacco,"Winston-Salem, North Carolina",1275283
REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York",872589
RF,Regions Financial Corp.,Financials,Diversified Financial Services,"Birmingham, Alabama",1281761
RHI,Robert Half International,Industrials,Industrial Conglomerates,"Menlo Park, California",315213
RHT,Red Hat Inc.,Information Technology,Systems Software,"Raleigh, North Carolina",1087423
RIG,Transocean,Energy,Oil & Gas Drilling,"Vernier, Switzerland",1451505
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",1037038
ROK,Rockwell Automation Inc.,Industrials,Industrial Conglomerates,"Milwaukee, Wisconsin",1024478
ROP,Roper Industries,Industrials,Industrial Conglomerates,"Sarasota, Florida",882835
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Pleasanton, California",745732
RRC,Range Resources Corp.,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas",315852
RSG,Republic Services Inc,Industrials,Industrial Conglomerates,"Phoenix, Arizona",1060391
RTN,Raytheon Co.,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1047122
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",829224
SCG,SCANA Corp,Utilities,Multi-Utilities & Unregulated Power,"Cayce, South Carolina",754737
SCHW,Charles Schwab Corporation,Financials,Diversified Financial Services,"San Francisco, California",316709
SE,Spectra Energy Corp.,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",1373835
SEE,Sealed Air Corp.(New),Materials,Paper Packaging,"Elmwood Park, New Jersey",1012100
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",89800
SIAL,Sigma-Aldrich,Materials,Diversified Chemicals,"St. Louis, Missouri",90185
SJM,Smucker (J.M.),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",91419
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",87347
SNA,Snap-On Inc.,Consumer Discretionary,Household Appliances,"Kenosha, Wisconsin",91440
SNDK,SanDisk Corporation,Information Technology,Computer Storage & Peripherals,"Milpitas, California",1000180
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,Broadcasting & Cable TV,"Cincinnati, Ohio",1430602
SO,Southern Co.,Utilities,Multi-Utilities & Unregulated Power,"Atlanta, Georgia",92122
SPG,Simon Property Group Inc,Financials,REITs,"Indianapolis, Indiana",1063761
SPLS,Staples Inc.,Consumer Discretionary,Specialty Stores,"Framingham, Massachusetts",791519
SRCL,Stericycle Inc,Industrials,Industrial Conglomerates,"Lake Forest, Illinois",861878
SRE,Sempra Energy,Utilities,Multi-Utilities & Unregulated Power,"San Diego, California",1032208
STI,SunTrust Banks,Financials,Banks,"Atlanta, Georgia",750556
STJ,St Jude Medical,Health Care,Health Care Equipment & Services,"Little Canada, Minnesota",203077
STT,State Street Corp.,Financials,Diversified Financial Services,"Boston, Massachusetts",93751
STX,Seagate Technology,Information Technology,Computer Storage & Peripherals,"Dublin, Ireland",1137789
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",16918
SWK,Stanley Black & Decker,Consumer Discretionary,Household Appliances,"New Britain, Connecticut",93556
SWN,Southwestern Energy,Energy,Oil & Gas Exploration & Production,"Houston, Texas[8]",7332
SWY,Safeway Inc.,Consumer Staples,Food Retail,"Pleasanton, California",86144
SYK,Stryker Corp.,Health Care,Health Care Equipment & Services,"Kalamazoo, Michigan",310764
SYMC,Symantec Corp.,Information Technology,Application Software,"Mountain View, California",849399
SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas",96021
T,AT&T Inc,Telecommunications Services,Integrated Telecommunications Services,"Dallas, Texas",732717
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,"Denver, Colorado",24545
TDC,Teradata Corp.,Information Technology,Application Software,"Miamisburg, Ohio",816761
TE,TECO Energy,Utilities,Multi-Utilities & Unregulated Power,"Tampa, Florida",350563
TEG,Integrys Energy Group Inc.,Utilities,Gas Utilities,"Chicago, Illinois",916863
TEL,TE Connectivity Ltd.,Information Technology,Electronic Equipment & Instruments,"Schaffhausen, Switzerland",1385157
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",27419
THC,Tenet Healthcare Corp.,Health Care,Health Care Facilities,"Dallas, Texas",70318
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",98246
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",109198
TMK,Torchmark Corp.,Financials,Life & Health Insurance,"McKinney, Texas",320335
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment & Services,"Waltham, Massachusetts",97745
TRIP,TripAdvisor,Consumer Discretionary,Internet Retail,"Newton, Massachusetts",1526520
TROW,T. Rowe Price Group,Financials,Diversified Financial Services,"Baltimore, Maryland",1113169
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York",86312
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Retail,"Brentwood, Tennessee",916365
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",100493
TSO,Tesoro Petroleum Co.,Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas",50104
TSS,Total System Services,Information Technology,Internet Software & Services,"Columbus, Georgia",721683
TWC,Time Warner Cable Inc.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",1377013
TWX,Time Warner Inc.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",1105705
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",97476
TXT,Textron Inc.,Industrials,Industrial Conglomerates,"Providence, Rhode Island",217346
TYC,Tyco International,Industrials,Industrial Conglomerates,"Schaffhausen, Switzerland",833444
UA,Under Armour,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",1336917
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",352915
UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",731766
UNM,Unum Group,Financials,Diversified Financial Services,"Chattanooga, Tennessee",5513
UNP,Union Pacific,Industrials,Railroads,"Omaha, Nebraska",100885
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",1090727
URBN,Urban Outfitters,Consumer Discretionary,Apparel Retail,"Philadelphia, Pennsylvania",912615
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",1215583
USB,U.S. Bancorp,Financials,Banks,"Minneapolis, Minnesota",36104
UTX,United Technologies,Industrials,Industrial Conglomerates,"Hartford, Connecticut",101829
V,Visa Inc.,Information Technology,Internet Software & Services,"San Francisco, California",1403161
VAR,Varian Medical Systems,Health Care,Health Care Equipment & Services,"Palo Alto, California",203527
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",103379
VIAB,Viacom Inc.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",1339947
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas",1035002
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",1396009
VNO,Vornado Realty Trust,Financials,REITs,"New York, New York",899689
VRSN,Verisign Inc.,Information Technology,Internet Software & Services,"Dulles, Virginia",1014473
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts",875320
VTR,Ventas Inc,Financials,Diversified Financial Services,"Chicago, Illinois",740260
VZ,Verizon Communications,Telecommunications Services,Integrated Telecommunications Services,"New York, New York",732712
WAG,Walgreen Co.,Consumer Staples,Drug Retail,"Deerfield, Illinois",104207
WAT,Waters Corporation,Health Care,Health Care Distributors & Services,"Milford, Massachusetts",1000697
WDC,Western Digital,Information Technology,Computer Storage & Peripherals,"Irvine, California",106040
WEC,Wisconsin Energy Corporation,Utilities,Multi-Utilities & Unregulated Power,"Milwaukee, Wisconsin",783325
WFC,Wells Fargo,Financials,Banks,"San Francisco, California",72971
WFM,Whole Foods Market,Consumer Staples,Food Retail,"Austin, Texas",865436
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",106640
WIN,Windstream Communications,Telecommunications Services,Integrated Telecommunications Services,"Little Rock, Arkansas",1282266
WLP,WellPoint Inc.,Health Care,Managed Health Care,"Indianapolis, Indiana",1156039
WM,Waste Management Inc.,Industrials,Environmental Services,"Houston, Texas",823768
WMB,Williams Cos.,Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma",107263
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",104169
WU,Western Union Co,Information Technology,Internet Software & Services,"Englewood, Colorado",1365135
WY,Weyerhaeuser Corp.,Financials,REITs,"Federal Way, Washington",106535
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey",1361658
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",1174922
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",1168054
XEL,Xcel Energy Inc,Utilities,Multi-Utilities & Unregulated Power,"Minneapolis, Minnesota",72903
XL,XL Capital,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",875159
XLNX,Xilinx Inc,Information Technology,Semiconductors,"San Jose, California",743988
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",34088
XRAY,Dentsply International,Health Care,Health Care Supplies,"York, Pennsylvania",818479
XRX,Xerox Corp.,Information Technology,IT Consulting & Services,"Norwalk, Connecticut",108772
XYL,Xylem Inc.,Industrials,Industrial Conglomerates,"White Plains, New York",1524472
YHOO,Yahoo Inc.,Information Technology,Internet Software & Services,"Sunnyvale, California",1011006
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1041061
ZION,Zions Bancorp,Financials,Banks,"Salt Lake City, Utah",109380
ZMH,Zimmer Holdings,Health Care,Health Care Equipment & Services,"Warsaw, Indiana",1136869
ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey",1555280
